task_radius,stiffness,damping,kTau,maxTau,maxPs,k,minEigBenv_a,minEigBenv_p,maxEigBenv,kBenv_a,kBenv_p,alpha1,alpha2_r1,alpha2_r2,alpha2_r3,alpha2_r4
0.1,101,0.1,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.00294585543325492,9.676819372731454e-08,0.14282690179977714,0.0025132359478151,0.03192832472070917,1.6830926967959463,0.276279467638494,1.50953134331082,-0.134335983537003 - 0.211420507551634*I,-0.134335983537003 + 0.211420507551634*I
0.1,101,0.2,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.005883757284541963,6.384456062289191e-08,0.28565396205556676,0.0050264718956302,0.06385664944141833,1.6830926967959463,0.276279467538635,1.50953134457558,-0.134335983496634 - 0.21142050750659*I,-0.134335983496634 + 0.21142050750659*I
0.1,101,0.30000000000000004,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.008826097134856974,4.5923546528259575e-07,0.4284809270043418,0.007539707843445299,0.0957849741621275,1.6830926967959463,0.276279468737876,1.50953132938666,-0.134335983981435 - 0.21142050804753*I,-0.134335983981435 + 0.21142050804753*I
0.1,101,0.4,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.011767846128905598,4.7104504073187266e-07,0.5713079960977261,0.0100529437912604,0.12771329888283667,1.6830926967959463,0.276279468773695,1.50953132893300,-0.134335983995915 - 0.211420508063687*I,-0.134335983995915 + 0.211420508063687*I
0.1,101,0.5,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.014709606366422294,1.3076966442440324e-09,0.7141350718332673,0.012566179739075499,0.15964162360354583,1.6830926967959463,0.276279467348957,1.50953134697794,-0.134335983419956 - 0.211420507421033*I,-0.134335983419956 + 0.211420507421033*I
0.1,101,0.6000000000000001,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.01765130096562729,1.223848532959328e-09,0.8569625114277872,0.015079415686890599,0.191569948324255,1.6830926967959463,0.276279467348703,1.50953134698116,-0.134335983419853 - 0.211420507420918*I,-0.134335983419853 + 0.211420507420918*I
0.1,101,0.7000000000000001,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.020591911269404826,1.0705290405002527e-09,0.9997893026443815,0.01759265163470483,0.22349827304496417,1.6830926967959463,0.276279467348238,1.50953134698705,-0.134335983419665 - 0.211420507420708*I,-0.134335983419665 + 0.211420507420708*I
0.1,101,0.8,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.02353175115988587,8.73968593738741e-10,1.1426169667308559,0.0201058875825208,0.25542659776567334,1.6830926967959463,0.276279467347642,1.50953134699460,-0.134335983419424 - 0.211420507420439*I,-0.134335983419424 + 0.211420507420439*I
0.1,101,0.9,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.026474091797324396,5.01122231215622e-07,1.2854455230589195,0.02261912353033503,0.2873549224863825,1.6830926967959463,0.276279468864920,1.50953132777758,-0.134335984032793 - 0.211420508104836*I,-0.134335984032793 + 0.211420508104836*I
0.1,101,1.0,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.0306854621465906,4.335536663876354e-07,1.4282768135413324,0.025132359478150998,0.31928324720709167,1.6830926967959463,0.276279468659982,1.50953133037322,-0.134335983949946 - 0.211420508012394*I,-0.134335983949946 + 0.211420508012394*I
0.1,101,1.1,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.032357859489259434,3.491802473842287e-07,1.5702430471406115,0.027645595425966965,0.35121157192785635,1.6830926967959463,0.276279468404072,1.50953133361443,-0.134335983846493 - 0.211420507896962*I,-0.134335983846493 + 0.211420507896962*I
0.1,101,1.2000000000000002,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.03530087743935377,2.5386897973466893e-07,1.7139424059563404,0.030158831373781197,0.38313989664851,1.6830926967959463,0.276279468114989,1.50953133727580,-0.134335983729629 - 0.211420507766565*I,-0.134335983729629 + 0.211420507766565*I
0.1,101,1.3,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.03824227278678514,1.5597420648840666e-07,1.8567665089059073,0.032672067321597165,0.41506822136916366,1.6830926967959463,0.276279467818069,1.50953134103643,-0.134335983609597 - 0.211420507632634*I,-0.134335983609597 + 0.211420507632634*I
0.1,101,1.4000000000000001,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.04118350117921359,6.790016770719751e-08,1.9995936748688699,0.03518530326940966,0.44699654608992834,1.6830926967959463,0.276279467550936,1.50953134441979,-0.134335983501607 - 0.211420507512139*I,-0.134335983501607 + 0.211420507512139*I
0.1,101,1.5,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.044125871353768546,9.117355640830918e-09,2.1423975835511397,0.0376985392172291,0.478924870810582,1.6830926967959463,0.276279467372644,1.50953134667793,-0.134335983429532 - 0.211420507431717*I,-0.134335983429532 + 0.211420507431717*I
0.1,101,1.6,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.04706637525011476,1.1749469305955984e-08,2.285256367854695,0.0402117751650416,0.5108531955313467,1.6830926967959463,0.276279467380628,1.50953134657681,-0.134335983432759 - 0.211420507435318*I,-0.134335983432759 + 0.211420507435318*I
0.1,101,1.7000000000000002,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.052169667054573744,1.319820489983581e-07,2.428080348613299,0.04272501111286103,0.5427815202521113,1.6830926967959463,0.276279467745299,1.50953134195808,-0.13433598358018 - 0.21142050759981*I,-0.13433598358018 + 0.21142050759981*I
0.1,101,1.8,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.052936341155703864,4.7405946737705595e-07,2.570913970637087,0.04523824706067006,0.574709844972765,1.6830926967959463,0.276279468782838,1.50953132881720,-0.134335983999611 - 0.211420508067811*I,-0.134335983999611 + 0.211420508067811*I
0.1,101,1.9000000000000001,36.24675437650393,6.920180289416108,0.5050000000000001,56.23826399016983,0.05590240533300025,3.127586769557477e-09,2.7137244718076117,0.04775148300848256,0.6066381696934187,1.6830926967959463,0.276279467354477,1.50953134690802,-0.134335983422187 - 0.211420507423523*I,-0.134335983422187 + 0.211420507423523*I
