mass,maxEigH,minEigH,kG,maxG,kC,alpha1,alpha2_r1,alpha2_r2,alpha2_r3,alpha2_r4
0.0,26.43113890337936,0.00015866342730005495,11.440250391589135,258.9942523407095,0.8652132624310364,2.0504064512304274,0.276279467344991,1.50953134702817,-0.134335983418353 - 0.211420507419244*I,-0.134335983418353 + 0.211420507419244*I
0.01,26.441084365940867,0.00017850608617754927,11.586437838306304,259.0808842998587,0.9051562677465936,2.201182183242438,0.276250378691115,1.50895774493490,-0.134319963854417 - 0.211391059695314*I,-0.134319963854417 + 0.211391059695314*I
0.02,26.449983273235617,0.0001987572935672349,11.691566712121418,259.1927433406258,0.9056820861905032,2.2008118661077782,0.276224364571964,1.50844486635089,-0.134305636752669 - 0.211364723028282*I,-0.134305636752669 + 0.211364723028282*I
0.03,26.462075133957505,0.00021998441614287995,11.791719602478864,259.29295474754423,0.9162913922681252,2.2003089775171794,0.276189037006536,1.50774851529388,-0.134286179226981 - 0.211328955274659*I,-0.134286179226981 + 0.211328955274659*I
0.04,26.47781492559214,0.00023652152624005406,11.877941452893129,259.4006831770563,0.9260105346324883,2.1996548911945033,0.276143086983705,1.50684303332873,-0.134260869213777 - 0.211282428974041*I,-0.134260869213777 + 0.211282428974041*I
0.05,26.48564256616841,0.00026243790611620493,11.990051606478744,259.5070439235401,0.9365219666672168,2.1993298211080026,0.276120250194252,1.50639312174644,-0.134248289538793 - 0.211259304208141*I,-0.134248289538793 + 0.211259304208141*I
0.06,26.501309039692778,0.000283667559634074,12.065530113115605,259.5967306742323,0.9465252351319826,2.1986796487699323,0.276074573584797,1.50549344924972,-0.134223126917387 - 0.211213048474632*I,-0.134223126917387 + 0.211213048474632*I
0.07,26.50819212214068,0.00029886017221431694,12.187997045108881,259.71640254376973,0.9709227515023117,2.198394177098466,0.276054517996435,1.50509851157002,-0.134212077891731 - 0.211192737284929*I,-0.134212077891731 + 0.211192737284929*I
0.08,26.52136415365223,0.0003192741820256426,12.291559078187685,259.82316840143665,0.98912073241848,2.1978481849397045,0.276016159195950,1.50434329483287,-0.134190944110366 - 0.211153887368203*I,-0.134190944110366 + 0.211153887368203*I
0.09,26.52972026782705,0.00033936320485257525,12.392117301874755,259.9144981968326,0.9914271883747815,2.1975020275628827,0.275991839459267,1.50386458476659,-0.134177544368831 - 0.211129254730837*I,-0.134177544368831 + 0.211129254730837*I
